Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume,Dollar
2020-11-26,2605.73,2625.97,2592.43,2625.91,2600.26,2567.04,2481.51,2404.83,2316.51,1387435,1104.6
2020-11-27,2624.8,2635,2618.47,2633.45,2616.25,2581,2499.82,2409.95,2320.27,1196042,1103.2
2020-11-30,2648.05,2648.66,2591.34,2591.34,2614,2585.83,2514.38,2413.98,2323.66,1311831,1106.5
2020-12-01,2613.42,2638.87,2611.67,2634.25,2617.3,2595.34,2528.93,2418.48,2327.37,1151129,1106.2
2020-12-02,2645.88,2677.26,2644.53,2675.9,2632.17,2608.37,2544.86,2423.14,2331.37,1076204,1100.8
2020-12-03,2686.38,2696.22,2672.85,2696.22,2646.23,2623.25,2558.98,2428.61,2335.7,817066,1097
2020-12-04,2705.34,2742.77,2705.34,2731.45,2665.83,2641.04,2574.73,2434.4,2340.69,1778897,1082.1
2020-12-07,2738.11,2754.01,2711.42,2745.44,2696.65,2655.33,2589.64,2440.12,2346.65,1499265,1082.1
2020-12-08,2745.13,2747.45,2700.92,2700.93,2709.99,2663.64,2602.04,2445.54,2351.34,1415240,1085.4
2020-12-09,2703.3,2755.47,2703.3,2755.47,2725.9,2679.04,2615.52,2451.52,2356.46,1252305,1084.8
2020-12-10,2750.34,2765.46,2718.7,2746.46,2735.95,2691.09,2629.07,2457.35,2361.57,1227651,1087.7
2020-12-11,2754.16,2781.04,2754.16,2770.06,2743.67,2704.75,2642.88,2463.06,2366.81,1215239,1090.3
2020-12-14,2769.43,2782.79,2755.29,2762.2,2747.02,2721.84,2653.83,2468.37,2372.1,1113631,1091.8
2020-12-15,2763.65,2769.37,2735.08,2756.82,2758.2,2734.1,2664.72,2473.71,2377.32,1093523,1093.3
2020-12-16,2763.64,2781.08,2761.5,2771.79,2761.47,2743.68,2676.03,2479.81,2382.4,1166638,1094
2020-12-17,2769.89,2772.71,2742.25,2770.43,2766.26,2751.11,2687.18,2485.78,2387.89,1015484,1093.3
2020-12-18,2770.95,2782.15,2762.8,2772.18,2766.68,2755.18,2698.11,2492.15,2393.2,1059144,1099.7
2020-12-21,2771.98,2780.24,2747.09,2778.65,2769.97,2758.5,2706.91,2499.59,2398.91,1139514,1102.7
2020-12-22,2772.03,2774.22,2733.64,2733.68,2765.35,2761.77,2712.71,2506.26,2404.12,1260762,1107.4
2020-12-23,2737.74,2769.08,2716.28,2759.82,2762.95,2762.21,2720.62,2514.38,2409.56,1121347,1107.9
2020-12-24,2762.6,2812.16,2762.6,2806.86,2770.24,2768.25,2729.67,2523.18,2415.16,1030890,1103
2020-12-28,2820.95,2834.59,2799.56,2808.6,2777.52,2772.1,2738.43,2531.53,2420.63,1006250,1096.7
2020-12-29,2810.55,2823.44,2792.06,2820.51,2785.89,2777.93,2749.89,2539.74,2425.9,1046839,1092.1
2020-12-30,2820.36,2878.21,2809.35,2873.47,2813.85,2789.6,2761.85,2548.33,2431.81,1074033,1086.3
2021-01-04,2874.5,2946.54,2869.11,2944.45,2850.78,2806.87,2775.27,2557.97,2438.36,1026510,1082.1
2021-01-05,2943.67,2990.57,2921.84,2990.57,2887.52,2828.88,2789.99,2568.03,2445.21,1519912,1087.6
2021-01-06,2993.34,3027.16,2961.37,2968.21,2919.44,2848.48,2801.83,2577.63,2452.03,1793419,1085.6
2021-01-07,2980.75,3055.28,2980.75,3031.68,2961.68,2873.79,2816.14,2588.1,2459.07,1524655,1087.3
